物件①　品川区 新築マンション（2019年／自己居住）
住宅ローン（フラット35S）で購入
カテゴリ	体験内容
①物件購入のプロセス	持ち家を収支計算できるのか検証
①物件購入のプロセス	持ち家の選定方法
①物件購入のプロセス	持ち家 vs 賃貸の比較検討（KW: 持ち家 賃貸 どっち）
①物件購入のプロセス	フリーランスが初めて家を買う。実際に買ったスペックを詳細に記載
②融資・ローン	フリーランスでも住宅ローンが組めた（KW: フリーランス 住宅ローン）
②融資・ローン	10割融資のフルローンをフラット35Sで実現
③リフォーム	リフォーム業者との打ち合わせプロセス
④空室対策・客付け	客付けに困った時の対策
④空室対策・客付け	マイソクの作成と活用
⑤税務・確定申告	3000万円の特別控除を実際に使用
⑥売却	売却時の仲介手数料を50%に交渉
⑥売却	専任媒介 vs 一般媒介の選択経験
⑦勉強した事・書籍	「マンションは10年で売りなさい」を参考に読了
⑦勉強した事・書籍	ファイナンシャルアカデミーでの学習を検討
⑧その他（成功・失敗）	住宅ローンの売却シミュレーションは需要があるか検証

物件②　埼玉県東部 築古戸建（2023年／収益物件）
初めての収益物件。現金で購入
カテゴリ	体験内容
①物件購入のプロセス	なぜ空き家を買ったのか
①物件購入のプロセス	空き家を賃貸目的で購入
①物件購入のプロセス	何件ぐらいの物件を見たか
①物件購入のプロセス	購入の意思決定プロセス
①物件購入のプロセス	土地の値段で購入（土地値物件の見極め）
①物件購入のプロセス	買付申込。仲介手数料は400万円ベースで計算
②融資・ローン	日本政策金融公庫から資金調達（初めての空き家投資）
②融資・ローン	実際に提出した資料あり
②融資・ローン	金融機関17社に断られた経験
②融資・ローン	250万円を5年間で借入。金利の詳細
②融資・ローン	融資承認後に埼玉県信用金庫の口座開設（融資入金用）
③リフォーム	400万円のフルリフォーム
③リフォーム	3ヶ月かけて完成
③リフォーム	暮らしのマーケットで部分的に内装を整理
④空室対策・客付け	ステージングを実施
④空室対策・客付け	ウラケンさんの書籍を参考に
④空室対策・客付け	マイソクを持って最寄駅を回って需要・家賃をヒアリング
④空室対策・客付け	敷金・礼金ゼロ、1ヶ月フリーレント設定
④空室対策・客付け	短期解約なし（24ヶ月で設定）
④空室対策・客付け	暮らしのマーケットで部分的に内装整理
④空室対策・客付け	テレビ出演依頼を受けてインタビューに回答
⑤税務・確定申告	減価償却費は15年間で計上。債務償還年数を長くする為
⑦勉強した事・書籍	土地値物件の買い方の動画で学習
⑦勉強した事・書籍	ウラケン不動産の戸建投資の内容を参考に
⑦勉強した事・書籍	空き家再生に関する書籍を読了
⑨法人・法人化	法人で実施のため経営者保証なし

物件③　埼玉県東部 築古戸建（2023年／収益物件）
現金で購入
カテゴリ	体験内容
①物件購入のプロセス	築古で土地値で出たため購入
②融資・ローン	埼玉県信用金庫で保証協会融資（10年ローン）
②融資・ローン	さいたま市の制度を活用
④空室対策・客付け	すぐに客付けできた

物件④　越谷市 ファミリー区分マンション（2024年／収益物件）
リースバックにて購入
カテゴリ	体験内容
①物件購入のプロセス	リースバックにて購入
①物件購入のプロセス	定期借家契約を設定
②融資・ローン	埼玉県の信用金庫で15年のフルローン

物件⑤　川越市 ファミリー区分マンション（2024年／収益物件）
フルローンで購入
カテゴリ	体験内容
（未記入）

物件⑥　さいたま市浦和区 戸建（2024年／収益物件）
フルローンで購入
カテゴリ	体験内容
（未記入）

物件⑦　さいたま市大宮区 フルリノベ戸建（2025年／自己居住）
住宅ローンで購入
カテゴリ	体験内容
（未記入）
